                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   0.99,                 1.9554,                  1.193,                0.95785,                0.48867,                0.82645,                0.56363,                0.91894,                 2.2134,                  1.114,                0.00036,                0.00036,                0.00036
                      2,                 1.0109,                 1.2924,                 1.2095,                 0.8831,                0.40143,                0.54922,                0.34323,                 1.5152,                 2.4714,                 1.6277,             0.00073267,             0.00073267,             0.00073267
                      3,                 1.1292,                 1.2566,                 1.2391,                0.72068,                0.49821,                0.57268,                0.29303,                 1.5872,                 2.2714,                 1.7121,              0.0010978,              0.0010978,              0.0010978
                      4,                 1.1332,                 1.2476,                 1.2667,                0.61332,                0.56272,                0.59637,                0.31355,                 1.5276,                 1.9981,                 1.6993,              0.0014555,              0.0014555,              0.0014555
                      5,                 1.1868,                 1.3257,                  1.284,                0.49028,                 0.3405,                0.37074,                0.18261,                 1.6235,                 2.8021,                  1.812,              0.0018056,              0.0018056,              0.0018056
                      6,                  1.177,                 1.3132,                 1.2852,                0.45831,                0.46953,                0.41772,                0.20963,                  1.597,                 2.8144,                  1.725,               0.001901,               0.001901,               0.001901
                      7,                 1.1296,                 1.2502,                 1.2887,                0.63497,                0.49104,                0.54763,                0.29664,                 1.7016,                 1.8673,                 1.8121,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1715,                 1.2367,                 1.2862,                0.57313,                0.52935,                0.53457,                 0.2844,                 1.5689,                 1.9528,                 1.6655,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0876,                 1.1626,                 1.2362,                0.74084,                0.67742,                0.71842,                 0.4338,                 1.2796,                 1.5973,                 1.4612,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.145,                 1.1747,                 1.2807,                0.72178,                0.69741,                0.73474,                0.43298,                 1.2764,                  1.419,                 1.4691,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1228,                 1.1819,                 1.2949,                0.67523,                0.74194,                0.73746,                0.40913,                 1.3607,                 1.6343,                 1.5359,               0.001802,               0.001802,               0.001802
                     12,                 1.1176,                 1.1309,                 1.2675,                0.74875,                0.68361,                 0.7536,                 0.4694,                 1.2987,                 1.5859,                 1.5576,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0937,                 1.1056,                 1.2749,                 0.8064,                0.73156,                0.81626,                0.50223,                 1.2352,                 1.2297,                 1.4588,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1374,                 1.1094,                 1.2785,                0.81183,                0.69176,                0.79026,                0.49594,                 1.2965,                 1.3581,                 1.4612,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0851,                 1.0672,                 1.2645,                0.76259,                0.76344,                0.81187,                0.53675,                 1.1701,                 1.0936,                   1.38,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0542,                 1.0494,                 1.2431,                 0.8231,                0.76703,                0.82296,                0.55329,                 1.1187,                 1.0696,                 1.3412,               0.001703,               0.001703,               0.001703
                     17,                 1.0681,                 1.0041,                 1.2225,                  0.772,                0.77671,                0.80052,                0.52563,                 1.1609,                 1.2036,                 1.3699,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0093,                0.98058,                 1.1959,                 0.8233,                0.73118,                0.82016,                0.54188,                 1.1675,                 1.1335,                 1.3726,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0565,                 1.0205,                 1.2484,                0.80768,                 0.7276,                0.80472,                0.52245,                 1.2009,                 1.2529,                 1.4142,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0336,                0.97249,                 1.2288,                0.74304,                0.70477,                0.75558,                0.48489,                 1.2709,                 1.1952,                 1.4676,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0113,                0.94359,                 1.1955,                0.79588,                0.70968,                0.79594,                0.53282,                 1.0809,                  1.132,                 1.2909,               0.001604,               0.001604,               0.001604
                     22,                 1.0036,                0.97349,                 1.1854,                0.85499,                0.74552,                0.84784,                0.56599,                 1.0826,                0.95198,                 1.2995,              0.0015842,              0.0015842,              0.0015842
                     23,                0.98979,                 0.9506,                 1.1776,                0.76483,                0.78495,                0.84484,                0.57661,                 1.0888,                  1.019,                 1.2854,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98165,                0.90851,                  1.175,                0.82694,                0.77068,                0.84359,                 0.5731,                 1.0854,                0.94754,                 1.2741,              0.0015446,              0.0015446,              0.0015446
                     25,                0.97246,                0.92699,                 1.1923,                 0.8385,                0.74437,                 0.8462,                0.55498,                 1.1272,                 1.0432,                 1.3174,              0.0015248,              0.0015248,              0.0015248
                     26,                0.94628,                0.87072,                 1.1752,                0.80615,                0.76017,                0.84186,                0.59666,                 1.0837,                 1.0256,                 1.3039,               0.001505,               0.001505,               0.001505
                     27,                0.95555,                0.88305,                 1.1488,                0.81618,                 0.7639,                0.83522,                0.56833,                 1.0667,                0.99481,                 1.2886,              0.0014852,              0.0014852,              0.0014852
                     28,                0.93201,                0.86642,                 1.1447,                0.87561,                0.78495,                0.85845,                0.59491,                 1.0477,                 0.8974,                 1.2832,              0.0014654,              0.0014654,              0.0014654
                     29,                0.92686,                0.83502,                 1.1588,                0.81451,                0.78853,                0.86035,                0.59614,                  1.008,                0.93105,                 1.2661,              0.0014456,              0.0014456,              0.0014456
                     30,                0.91127,                0.82807,                 1.1572,                0.76506,                0.82437,                0.84613,                0.58005,                 1.0635,                0.99906,                 1.3228,              0.0014258,              0.0014258,              0.0014258
                     31,                0.93857,                0.81684,                 1.1699,                0.83641,                0.74552,                0.83176,                0.57283,                 1.0981,                0.99204,                 1.2969,               0.001406,               0.001406,               0.001406
                     32,                0.91417,                0.80208,                 1.1529,                0.84098,                0.76703,                0.85477,                0.61993,                0.96557,                0.84344,                 1.2178,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.9151,                0.83989,                 1.1502,                0.82941,                0.76703,                 0.8202,                0.58082,                  1.024,                0.89136,                 1.2656,              0.0013664,              0.0013664,              0.0013664
                     34,                0.92702,                0.83651,                 1.1645,                0.84222,                0.80358,                0.87167,                0.62635,                0.98807,                0.83182,                 1.2165,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.8624,                0.77378,                 1.1196,                 0.8826,                0.80842,                0.89351,                0.64927,                0.91297,                0.77504,                 1.1597,              0.0013268,              0.0013268,              0.0013268
                     36,                0.86328,                0.75214,                 1.1057,                0.84998,                0.82079,                0.88861,                0.61706,                0.99772,                0.86088,                 1.2326,               0.001307,               0.001307,               0.001307
                     37,                0.86948,                0.77329,                 1.1095,                0.86225,                0.78524,                0.86256,                0.60906,                0.99622,                0.84423,                 1.2521,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86393,                0.76697,                 1.1195,                0.84221,                0.78438,                0.86021,                0.60013,                 1.0031,                0.91564,                 1.2845,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.8593,                0.74817,                 1.1059,                0.86173,                0.78184,                0.86438,                0.61335,                0.98644,                  0.895,                 1.2396,              0.0012476,              0.0012476,              0.0012476
                     40,                0.82291,                0.73284,                 1.0962,                0.85398,                0.83871,                0.87656,                0.62434,                0.96059,                0.78633,                 1.2412,              0.0012278,              0.0012278,              0.0012278
                     41,                0.83759,                0.71859,                 1.1038,                0.83603,                0.83154,                0.88843,                0.63102,                0.94953,                0.75161,                 1.2133,               0.001208,               0.001208,               0.001208
                     42,                0.84378,                0.71022,                 1.0922,                0.80388,                0.82079,                0.85144,                0.61664,                0.97052,                0.87381,                 1.2075,              0.0011882,              0.0011882,              0.0011882
                     43,                0.81624,                0.69383,                 1.0858,                0.84151,                0.79928,                0.87675,                 0.6446,                0.89278,                 0.8089,                 1.1643,              0.0011684,              0.0011684,              0.0011684
                     44,                0.80644,                0.68914,                 1.0837,                0.88665,                0.78502,                0.87841,                0.64341,                0.92715,                0.80966,                  1.158,              0.0011486,              0.0011486,              0.0011486
                     45,                0.81951,                0.71494,                 1.0989,                0.88522,                0.77778,                 0.8766,                 0.6243,                 0.9669,                0.79644,                 1.1879,              0.0011288,              0.0011288,              0.0011288
                     46,                0.83165,                0.71255,                 1.0982,                0.84691,                0.81297,                0.89355,                0.64459,                0.90081,                0.78377,                 1.1892,               0.001109,               0.001109,               0.001109
                     47,                0.84136,                0.70697,                 1.1213,                0.80727,                0.87075,                0.89184,                0.62256,                0.95617,                0.81778,                 1.2281,              0.0010892,              0.0010892,              0.0010892
                     48,                0.80696,                0.67488,                 1.0918,                 0.8896,                 0.7957,                0.87333,                0.64234,                 0.9081,                0.76954,                 1.1718,              0.0010694,              0.0010694,              0.0010694
                     49,                0.80122,                0.67759,                 1.0695,                0.82914,                0.83489,                0.87637,                0.62133,                0.96377,                0.79493,                 1.2313,              0.0010496,              0.0010496,              0.0010496
                     50,                0.79572,                0.68787,                   1.09,                0.82437,                0.81362,                0.86733,                0.64096,                0.88383,                0.76893,                 1.1827,              0.0010298,              0.0010298,              0.0010298
                     51,                0.79081,                0.66409,                 1.0957,                0.86517,                0.85097,                0.90305,                0.67016,                0.89338,                0.72376,                 1.1741,                0.00101,                0.00101,                0.00101
                     52,                0.75967,                0.64224,                  1.055,                0.91314,                0.82079,                 0.8956,                0.66313,                0.86906,                0.72748,                 1.1417,              0.0009902,              0.0009902,              0.0009902
                     53,                0.75827,                0.65444,                 1.0541,                0.88271,                0.80645,                0.87628,                0.65308,                0.88668,                0.71187,                 1.1581,              0.0009704,              0.0009704,              0.0009704
                     54,                0.77161,                0.65231,                  1.065,                0.84438,                0.84229,                0.88933,                 0.6417,                0.93218,                0.74137,                 1.1716,              0.0009506,              0.0009506,              0.0009506
                     55,                0.75772,                0.64539,                 1.0638,                0.83746,                0.83105,                0.89945,                0.66139,                0.86538,                0.74045,                 1.1595,              0.0009308,              0.0009308,              0.0009308
                     56,                0.73663,                0.65922,                 1.0618,                0.88323,                0.84042,                0.90338,                0.66288,                0.89666,                0.76309,                 1.1582,               0.000911,               0.000911,               0.000911
                     57,                0.73745,                0.63435,                 1.0514,                 0.8834,                0.83513,                0.89658,                0.65783,                0.91007,                0.73556,                 1.1578,              0.0008912,              0.0008912,              0.0008912
                     58,                0.71969,                  0.612,                 1.0438,                 0.8698,                0.83513,                0.89799,                0.65197,                0.91372,                0.74574,                 1.1708,              0.0008714,              0.0008714,              0.0008714
                     59,                0.71556,                0.60849,                 1.0471,                0.86912,                0.84946,                0.89593,                0.66978,                0.86927,                0.69746,                 1.1599,              0.0008516,              0.0008516,              0.0008516
                     60,                0.71236,                0.59256,                 1.0223,                0.89404,                0.84682,                0.91911,                 0.6683,                 0.8548,                0.68901,                  1.152,              0.0008318,              0.0008318,              0.0008318
                     61,                0.71273,                0.62533,                 1.0496,                0.91677,                0.82903,                 0.9224,                0.67129,                0.85642,                0.68683,                 1.1582,               0.000812,               0.000812,               0.000812
                     62,                0.72052,                 0.6214,                 1.0468,                0.88833,                0.83513,                0.90729,                0.65734,                0.88917,                0.71623,                 1.1728,              0.0007922,              0.0007922,              0.0007922
                     63,                0.68008,                0.57714,                 1.0197,                0.89982,                0.82796,                0.90395,                0.65847,                0.90456,                0.69593,                 1.1812,              0.0007724,              0.0007724,              0.0007724
                     64,                0.69123,                0.58373,                 1.0284,                0.90238,                 0.8172,                0.90255,                0.65934,                0.86613,                0.67828,                 1.1642,              0.0007526,              0.0007526,              0.0007526
                     65,                0.71217,                0.59377,                 1.0287,                0.85475,                0.86475,                0.89868,                0.66849,                0.86204,                0.68302,                 1.1794,              0.0007328,              0.0007328,              0.0007328
                     66,                0.70449,                0.59628,                 1.0213,                0.90888,                0.85804,                0.90615,                0.67028,                0.85905,                 0.6737,                 1.1448,               0.000713,               0.000713,               0.000713
                     67,                0.69072,                0.57178,                 1.0295,                0.90064,                0.84476,                0.90824,                0.67237,                0.86421,                0.68466,                   1.17,              0.0006932,              0.0006932,              0.0006932
                     68,                0.66718,                0.56132,                 1.0183,                 0.9075,                0.84397,                0.91961,                0.66847,                0.89899,                0.68349,                  1.197,              0.0006734,              0.0006734,              0.0006734
                     69,                0.67099,                0.56424,                 1.0284,                0.85818,                0.88926,                0.92258,                0.67904,                0.88111,                0.63914,                 1.1658,              0.0006536,              0.0006536,              0.0006536
                     70,                0.67886,                0.55399,                 1.0196,                0.86897,                0.88172,                 0.9165,                0.69113,                0.83137,                0.67678,                 1.1301,              0.0006338,              0.0006338,              0.0006338
                     71,                0.67098,                0.55499,                 1.0308,                0.88335,                0.86738,                0.90856,                0.69609,                0.81779,                0.65494,                 1.1251,               0.000614,               0.000614,               0.000614
                     72,                0.63061,                0.53151,                0.99775,                0.86136,                 0.8853,                0.91312,                0.70231,                0.80499,                0.63872,                 1.1293,              0.0005942,              0.0005942,              0.0005942
                     73,                0.64287,                0.53314,                0.99106,                0.86242,                0.86022,                0.90425,                0.69553,                0.80689,                0.65399,                 1.1082,              0.0005744,              0.0005744,              0.0005744
                     74,                0.63394,                0.54466,                 1.0071,                0.86053,                0.86244,                0.90361,                0.68346,                0.80931,                0.66497,                  1.122,              0.0005546,              0.0005546,              0.0005546
                     75,                0.63001,                0.52533,                0.99834,                0.90543,                 0.8236,                0.90888,                0.70515,                0.80332,                0.65763,                  1.119,              0.0005348,              0.0005348,              0.0005348
                     76,                0.64723,                0.51857,                 1.0054,                0.86986,                0.83852,                0.90892,                0.69334,                0.83602,                0.68972,                 1.1363,               0.000515,               0.000515,               0.000515
                     77,                0.63053,                0.52554,                 1.0102,                0.84662,                0.85074,                0.91494,                0.68879,                 0.8388,                0.68054,                 1.1485,              0.0004952,              0.0004952,              0.0004952
                     78,                0.58531,                0.49787,                0.98516,                0.88883,                0.85971,                0.91866,                0.69512,                0.80303,                0.64926,                  1.123,              0.0004754,              0.0004754,              0.0004754
                     79,                0.64383,                0.52499,                 1.0088,                0.89537,                0.85881,                0.90985,                0.68813,                0.84131,                0.62055,                 1.1319,              0.0004556,              0.0004556,              0.0004556
                     80,                0.62401,                0.52196,                 1.0018,                0.86683,                0.88657,                0.91323,                0.69318,                0.82292,                 0.6424,                 1.1337,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59615,                0.50845,                0.98918,                0.87749,                0.84723,                0.91382,                0.70296,                0.79736,                0.62323,                 1.1168,               0.000416,               0.000416,               0.000416
                     82,                0.62717,                0.50695,                0.99775,                0.89512,                0.84588,                0.91815,                0.70476,                0.80323,                0.61816,                  1.122,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60188,                0.52838,                  1.005,                0.85075,                0.85807,                0.90032,                0.69276,                0.80862,                0.64177,                 1.1217,              0.0003764,              0.0003764,              0.0003764
